,name,link,price,price_original
52,Intel Core I3 13100F Box Raptor Lake Socket LGA 1700 Processor 13100 F,https://www.tokopedia.com/sj-com/intel-core-i3-13100f-box-raptor-lake-socket-lga-1700-processor-13100-f?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2060000,2060000
53,PROCESSOR INTEL CORE I3 12100 3.30 GHz BOX SOCKET 1700 GARANSI RESMI,https://www.tokopedia.com/planetcomputer/processor-intel-core-i3-12100-3-30-ghz-box-socket-1700-garansi-resmi?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch%26whid%3D9368297&refined=true,2306000,2306000
54,Processor Intel Core i3 12100 TRAY LGA1700,https://www.tokopedia.com/elscomputer/processor-intel-core-i3-12100-tray-lga1700?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2059000,2059000
55,Processor Intel Core i3-12100 UHD Alder Lake (BOX),https://www.tokopedia.com/elscomputer/processor-intel-core-i3-12100-uhd-alder-lake-box?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2159000,2159000
56,PROCESSOR INTEL CORE I3 6100 LGA 1151 TRAY,https://www.tokopedia.com/sj-com/processor-intel-core-i3-6100-lga-1151-tray?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch%26whid%3D21653&refined=true,435000,435000
57,Processor INTEL Core i3-13100F Box 4.5GHz LGA1700- Intel I3 13100F Box,https://www.tokopedia.com/dbklikyogya/processor-intel-core-i3-13100f-box-4-5ghz-lga1700-intel-i3-13100f-box?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2090000,2090000
58,Processor Intel Core I3 10100F Tray Comet Lake Socket LGA 1200 + Fan,https://www.tokopedia.com/ragamhardisk/processor-intel-core-i3-10100f-tray-comet-lake-socket-lga-1200-fan?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,1020000,1020000
59,PROCESSOR INTEL I3 10100F BOX LGA 1200 - CPU CORE I3-10100F,https://www.tokopedia.com/wpg-official/processor-intel-i3-10100f-box-lga-1200-cpu-core-i3-10100f?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,1284000,1284000
60,Intel Core i3 10100 Processor Comet Lake-S LGA 1200 4 Core Gen 10,https://www.tokopedia.com/duniastorage/intel-core-i3-10100-processor-comet-lake-s-lga-1200-4-core-gen-10?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,1715000,1715000
61,Processor INTEL Core i3-12100 Box 3.3GHz LGA1700 - Intel I3 12100 Box,https://www.tokopedia.com/dbclick/processor-intel-core-i3-12100-box-3-3ghz-lga1700-intel-i3-12100-box?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch%26whid%3D70055&refined=true,2045000,2045000
62,Processor INTEL Core i3-13100 Box 4.5GHz LGA1700 - Intel I3 13100 Box,https://www.tokopedia.com/dbklikyogya/processor-intel-core-i3-13100-box-4-5ghz-lga1700-intel-i3-13100-box?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,2465000,2465000
63,PROCESSOR INTEL CORE I3 6100 TRAY PLUS FAN ORI SOCKET 1151,https://www.tokopedia.com/yoestore/processor-intel-core-i3-6100-tray-plus-fan-ori-socket-1151?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,1609000,1609000
64,Processor INTEL Core i3-12100F Box 3.3GHz LGA1700- Intel I3 12100F Box,https://www.tokopedia.com/dbklikmalang-21/processor-intel-core-i3-12100f-box-3-3ghz-lga1700-intel-i3-12100f-box?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,1650000,1650000
65,PROCESSOR INTEL I3 10105 BOX LGA 1200 - CPU CORE I3-10105,https://www.tokopedia.com/wpg-official/processor-intel-i3-10105-box-lga-1200-cpu-core-i3-10105?extParam=ivf%3Dfalse%26shop_tier%3D2%26src%3Dsearch&refined=true,1827000,1827000
